Month,3rd,5th,10th,25th,50th,75th,90th,95th,98th
0,45.09488261,45.5756074,46.33933651,47.68345469,49.28639612,51.01869574,52.70250115,53.77290878,54.49527364
0.5,47.46915792,47.96323977,48.74248168,50.09685513,51.68358057,53.36362339,54.96222276,55.96094226,56.62728063
1.5,50.95700562,51.4799569,52.29626871,53.69078138,55.28612813,56.93136077,58.45612369,59.38910734,60.00337771
2.5,53.62925292,54.17907364,55.03144306,56.47125217,58.09381906,59.74044694,61.24305751,62.15165579,62.74546997
3.5,55.85939936,56.43334947,57.31892438,58.80346208,60.45980763,62.12329513,63.6264785,64.52875326,65.115773
4.5,57.80470109,58.40032437,59.31632768,60.84386229,62.53669656,64.22507127,65.74095895,66.64652556,67.23397741
5.5,59.54799297,60.16323075,61.10725836,62.67589709,64.40632762,66.12417852,67.65995218,68.57451607,69.16667619
6.5,61.13893122,61.77208015,62.74210283,64.35005344,66.11841553,67.86849937,69.42868425,70.35586907,70.95545459
7.5,62.60993179,63.25957954,64.2538878,65.89952096,67.70574419,69.4897495,71.07731063,72.01952455,72.6283475
8.5,63.98348087,64.64844828,65.6655939,67.34744593,69.19123614,71.01018905,72.62711495,73.58600806,74.20531837
9.5,65.27590347,65.95519757,66.99394371,68.71070188,70.59163924,72.44613669,74.09377512,75.07050088,75.70118113
10.5,66.49947935,67.19225646,68.25153766,70.00202169,71.91961673,73.80996848,75.4892313,76.48460495,77.12728799
11.5,67.66371146,68.36924855,69.44813905,71.23128342,73.1850104,75.11132946,76.82282345,77.83742285,78.49256622
12.5,68.77612694,69.49379917,70.5914881,72.40632639,74.39564379,76.35790617,78.10201973,79.13625191,79.80418693
13.5,69.84280474,70.57206791,71.6878396,73.5334912,75.5578544,77.55593964,79.33290204,80.3870486,81.06801366
14.5,70.86873555,71.60911222,72.74233055,74.61798935,76.67685871,78.71057805,80.52050098,81.59474986,82.28891385
15.5,71.85807481,72.60914323,73.75923909,75.66416403,77.75700986,79.82612621,81.66903345,82.76350174,83.47098066
16.5,72.81432502,73.57571021,74.74217142,76.67567844,78.80198406,80.90622641,82.78207554,83.89682611,84.61769529
17.5,73.74047006,74.51183666,75.69419965,77.65565499,79.81491852,81.95399237,83.86269087,84.99774469,85.73204785
18.5,74.63907612,75.42012252,76.61796557,78.60677999,80.79851532,82.9721104,84.91352766,86.06887316,86.81662924
19.5,75.51236875,76.30282224,77.51575989,79.53138379,81.75512092,83.96291696,85.93689348,87.11249363,87.87370201
20.5,76.36229263,77.16190547,78.3895838,80.43150301,82.6867881,84.92845908,86.93481346,88.13061128,88.90525584
21.5,77.19055854,77.9991046,79.24119737,81.30892951,83.59532461,85.87054197,87.9090764,89.12499925,89.91305149
22.5,77.99868072,78.81595272,80.07215803,82.16524937,84.48233206,86.79076712,88.8612716,90.09723454,90.89865612
23.5,78.78800783,79.61381456,80.88385147,83.00187362,85.34923624,87.69056226,89.79281852,91.04872752,91.86347264
24,78.43754166,79.25981989,80.52476467,82.63523563,84.97555512,87.31121356,89.40951159,90.66354871,91.47728689
24.5,79.55974326,80.39390918,81.67751732,83.82006698,86.1973169,88.57120953,90.70499153,91.98074369,92.80875921
25.5,80.33998364,81.18804253,82.49318413,84.67208812,87.09026318,89.50562438,91.67717995,92.97573731,93.81864148
26.5,81.11331525,81.97222927,83.29458969,85.50360235,87.95714182,90.40981965,92.61658225,93.93692673,94.79426258
27.5,81.87334278,82.74084468,84.07717332,86.31150621,88.7960184,91.28258036,93.52226565,94.86338935,95.73464477
28.5,82.61506447,83.48950736,84.83741222,87.09345895,89.6055115,92.12313138,94.39371454,95.75464088,96.63927598
29.5,83.33473293,84.2149589,85.57272806,87.847827,90.38476689,92.93112624,95.2308179,96.61061463,97.50808067
30.5,84.02971817,84.91494389,86.28139027,88.57361882,91.13341722,93.7066212,96.03384732,97.43163806,98.34139389
31.5,84.69836716,85.58808886,86.96242078,89.2704229,91.8515436,94.45004782,96.8034301,98.21840208,99.13992666
32.5,85.3398692,86.23378572,87.61550158,89.9383459,92.5396352,95.16218257,97.54051914,98.97192777,99.90472932
33.5,85.95413399,86.85208427,88.24088648,90.57794935,93.19854429,95.84411175,98.24636075,99.69353355,100.6371574
34.5,86.5416688,87.44358723,88.83931978,91.19019802,93.82945392,96.49720519,98.92246313,100.384796,101.3388259
35.5,87.10348874,88.00936554,89.41195884,91.77639347,94.43382278,97.12307204,99.57056254,101.0475227,102.0115864
36.5,86.90307328,87.80528157,89.20284893,91.56065781,94.21335709,96.9007148,99.34898744,100.8275527,101.7931359
37.5,87.43482018,88.34236213,89.74875322,92.12298263,94.79643239,97.50723533,99.97896123,101.4726459,102.448488
38.5,87.95945137,88.87255864,90.28810699,92.67925322,95.37391918,98.10854769,100.6040005,102.112939,103.0991159
39.5,88.47849954,89.39733426,90.82227549,93.23069622,95.94692677,98.70568284,101.2250993,102.7494191,103.7460086
40.5,88.99330218,89.91797078,91.35246174,93.77840211,96.51644912,99.2995686,101.8431523,103.3829734,104.3900531
41.5,89.50502066,90.43558554,91.87972051,94.3233355,97.08337211,99.89103539,102.4589604,104.0143944,105.0320405
42.5,90.01465759,90.95114701,92.40497144,94.86634477,97.6484807,100.4808219,103.0732359,104.6443859,105.6726719
43.5,90.52307278,91.4654891,92.92901112,95.40817129,98.21246579,101.0695807,103.6866076,105.2735676,106.3125633
44.5,91.03099757,91.97932415,93.45252422,95.94945793,98.77593069,101.6578832,104.2996257,105.9024803,106.9522508
45.5,91.5390479,92.49325483,93.97609374,96.49075704,99.33939735,102.2462253,104.9127666,106.5315907,107.5921959
46.5,92.04773605,93.00778484,94.50021028,97.03253788,99.9033122,102.8350319,105.5264371,107.161296,108.2327896
47.5,92.55748123,93.52332863,95.02528063,97.57519341,100.4680516,103.4246616,106.1409795,107.7919282,108.8743573
48.5,93.06861913,94.04022021,95.55163545,98.11904662,101.033927,104.0154114,106.7566748,108.4237579,109.5171624
49.5,93.58141046,94.55872109,96.07953634,98.66435637,101.6011898,104.6075204,107.3737475,109.0569988,110.1614111
50.5,94.09604867,95.07902737,96.60918226,99.2113227,102.1700358,105.2011743,107.9923687,109.6918111,110.8072554
